FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2021-06-01,2021-05-28,EMYB,"Embassy Bancorp, Inc.",Englesson John G,Dir,S - Sale,19.6,-10000.0,45148.0,-18.0,-196000.0
2021-06-01,2021-05-27,NWPP,New Peoples Bankshares Inc,Keene Harold L,"Dir, 10%",P - Purchase,1.99,10000.0,4504487.0,0.0,19900.0
2021-06-01,2021-05-28,NI,Nisource Inc.,Jesanis Michael E,Dir,S - Sale,25.56,-4000.0,41257.0,-9.0,-102225.0
2021-06-01,2021-05-27,PFHD,Professional Holding Corp.,Garcia Carlos M.,Dir,S - Sale,18.4,-5059.0,457769.0,-1.0,-93086.0
2021-06-01,2021-05-28,TMP,Tompkins Financial Corp,Romaine Stephen S,"Pres, CEO",S - Sale,81.38,-2832.0,71346.0,-4.0,-230454.0
2021-06-01,2021-05-28,EMYB,"Embassy Bancorp, Inc.",Lesavoy Bernard M,Dir,P - Purchase,19.6,500.0,170573.0,0.0,9800.0
2021-06-01,2021-02-02,LEGH,Legacy Housing Corp,Hodgson Curtis Drew,"Chairman of the Board, 10%",S - Sale,15.97,-45182.0,9411698.0,0.0,-721670.0
2021-06-01,2021-05-27,HRL,Hormel Foods Corp /de/,Coffey Mark A,SVP,S - Sale+OE,48.66,-37500.0,56090.0,-40.0,-1824878.0
2021-06-01,2021-05-28,SLCA,"U.S. Silica Holdings, Inc.",Kacal William Jennings,Dir,P - Purchase,10.3,15000.0,216213.0,0.07,154425.0
2021-06-01,2021-05-27,INTU,Intuit Inc,Chriss James Alexander,"EVP, SBSEG",S - Sale,435.69,-764.0,300.0,-72.0,-332869.0
2021-06-01,2021-05-27,RDNT,"Radnet, Inc.",Murdock Michael N,"EVP, Chief Development Offcr",S - Sale,26.88,-18333.0,65920.0,-22.0,-492855.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Bird Michael R,Dir,P - Purchase,15.41,32.0,6514.0,0.0,493.0
2021-06-01,2021-05-27,GATO,"Gatos Silver, Inc.",Huerta Luis Felipe,"VP, Mexico",S - Sale+OE,16.15,-35785.0,0.0,-100.0,-577928.0
2021-06-01,2021-06-01,OHI,Omega Healthcare Investors Inc,Whitman Burke W,Dir,P - Purchase,36.96,500.0,19585.0,3.0,18480.0
2021-06-01,2021-05-28,MBI,Mbia Inc,Shasta Theodore,Dir,S - Sale,10.0,-20696.0,52049.0,-28.0,-206960.0
2021-06-01,2021-05-21,ESTA,Establishment Labs Holdings Inc.,De Mezerville Roberto,CTO,S - Sale,75.23,-4066.0,107844.0,-4.0,-305896.0
2021-06-01,2021-05-27,NSP,"Insperity, Inc.",Herink Daniel D,"SVP Legal, GC, Sec",S - Sale,93.91,-5000.0,36577.0,-12.0,-469550.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Van Dyke Litz H,CEO,P - Purchase,15.41,129.0,18557.0,1.0,1988.0
2021-06-01,2021-05-27,NSP,"Insperity, Inc.",Sharp Douglas S,"SVP Finance, CFO, Treasurer",S - Sale,93.65,-5208.0,27621.0,-16.0,-487729.0
2021-06-01,2021-05-27,RDFN,Redfin Corp,Kappus Anthony Ray,GC,S - Sale,57.65,-3151.0,823.0,-79.0,-181655.0
2021-06-01,2021-05-28,HRI,Herc Holdings Inc,Peres Tamir,"SVP, CIO",S - Sale,113.0,-3962.0,20685.0,-16.0,-447706.0
2021-06-01,2021-05-28,JNPR,Juniper Networks Inc,Austin Thomas A,"VP Corp Controller, CAO",S - Sale,26.43,-2322.0,6430.0,-27.0,-61370.0
2021-06-01,2021-06-01,AKR,Acadia Realty Trust,Blacksberg Jason,"SVP, GC",S - Sale+OE,22.13,-3000.0,0.0,-100.0,-66390.0
2021-06-01,2021-05-27,SEAC,Seachange International Inc,Prinn Michael,CFO,S - Sale,1.15,-1806.0,12480.0,-13.0,-2077.0
2021-06-01,2021-05-27,ROLL,Rbc Bearings Inc,Levine Alan B,Dir,S - Sale+OE,193.74,-1200.0,18527.0,-6.0,-232489.0
2021-06-01,2021-05-27,RCM,R1 Rcm Inc.,Tcp-Asc Achi Series Lllp,"Dir, 10%",S - Sale+OE,22.21,-16912646.0,139289200.0,-11.0,-375668833.0
2021-06-01,2021-05-27,OSH,"Oak Street Health, Inc.",Cook Timothy M,CFO,S - Sale,60.27,-22500.0,1464876.0,-2.0,-1356038.0
2021-06-01,2021-05-27,ALG,Alamo Group Inc,Robinson Ronald A,"Pres, CEO",S - Sale,153.41,-3483.0,229678.0,-1.0,-534312.0
2021-06-01,2021-05-27,ROLL,Rbc Bearings Inc,Stewart Edward,Dir,S - Sale+OE,193.38,-1600.0,22083.0,-7.0,-309411.0
2021-06-01,2021-05-28,QRVO,"Qorvo, Inc.",Bruggeworth Robert A,"Pres, CEO",S - Sale,185.28,-555.0,164700.0,0.0,-102830.0
2021-06-01,2021-05-28,YMAB,"Y-Mabs Therapeutics, Inc.",Gad Thomas,See Remarks,S - Sale,36.95,-4000.0,1603927.0,0.0,-147813.0
2021-06-01,2021-05-27,LIND,"Lindblad Expeditions Holdings, Inc.",Berle Dolf A,CEO,P - Purchase,17.45,36500.0,58452.0,166.0,636974.0
2021-06-01,2021-05-27,BCRX,Biocryst Pharmaceuticals Inc,Sheridan William P,Chief Medical Officer,S - Sale+OE,15.01,-163573.0,14475.0,-92.0,-2455431.0
2021-06-01,2021-05-27,OOMA,Ooma Inc,Gustke James A.,VP of Marketing,S - Sale+OE,18.74,-9497.0,125113.0,-7.0,-178020.0
2021-06-01,2021-05-26,CDR,"Cedar Realty Trust, Inc.",Stern Sharon Hochfelder,Dir,P - Purchase,14.03,3600.0,3600.0,0.0,50490.0
2021-06-01,2021-05-28,KFS,Kingsway Financial Services Inc,Fitzgerald John Taylor Maloney,"Pres, CEO",P - Purchase,4.93,422.0,1940889.0,0.0,2079.0
2021-06-01,2021-05-27,SMED,Sharps Compliance Corp,Holmes Parris H Jr,Dir,S - Sale,13.78,-112436.0,796033.0,-12.0,-1548809.0
2021-06-01,2021-05-27,OOMA,Ooma Inc,Narula Ravi,CFO,S - Sale,17.79,-4750.0,266216.0,-2.0,-84486.0
2021-06-01,2021-05-27,NOTV,"Inotiv, Inc.",Sagartz John E,Chief Strategy Officer,P - Purchase,24.78,2017.0,646782.0,0.0,49977.0
2021-06-01,2021-05-27,CTSH,Cognizant Technology Solutions Corp,Patsalos-Fox Michael,Dir,S - Sale+OE,71.2,-5858.0,61972.0,-9.0,-417090.0
2021-06-01,2021-05-28,INTC,Intel Corp,Rodgers Steven Ralph,EVP GC,S - Sale,57.61,-2972.0,103387.0,-3.0,-171217.0
2021-06-01,2021-05-28,KTB,"Kontoor Brands, Inc.",Krueger Laurel,"EVP, GC, Corp. Sec.",S - Sale+OE,63.98,-6762.0,29058.0,-19.0,-432653.0
2021-06-01,2021-05-27,AMRC,"Ameresco, Inc.",Wisneski Francis V Jr,Dir,S - Sale,53.66,-3000.0,32176.0,-9.0,-160974.0
2021-06-01,2021-05-27,SFT,"Shift Technologies, Inc.",Shein Oded,CFO,P - Purchase,7.0,10000.0,10000.0,0.0,70000.0
2021-06-01,2021-05-27,CURR,Cure Pharmaceutical Holding Corp.,Berlent Jonathan,Chief Business Officer,P - Purchase,0.69,10000.0,10000.0,0.0,6900.0
2021-06-01,2021-06-01,WMPN,William Penn Bancorporation,Logan Jonathan Thomas,"EVP, CFO",P - Purchase,11.26,5000.0,6611.0,310.0,56275.0
2021-06-01,2021-05-27,NSP,"Insperity, Inc.",Arizpe Arthur A,"Pres, COO",S - Sale,94.0,-2500.0,190268.0,-1.0,-235000.0
2021-06-01,2021-05-27,SITC,Site Centers Corp.,Finne Thomas,Dir,S - Sale,14.99,-5000.0,57785.0,-8.0,-74965.0
2021-06-01,2021-05-27,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,COB,S - Sale,67.25,-40000.0,7467511.0,-1.0,-2690068.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Feldmann Gregory W,Dir,P - Purchase,15.41,22.0,7563.0,0.0,339.0
2021-06-01,2021-05-28,R,Ryder System Inc,Parker Scott T,FORMER EVP & CFO,S - Sale+OE,81.87,-1026.0,107008.0,-1.0,-84002.0
2021-06-01,2021-05-28,PETV,"Petvivo Holdings, Inc.",Folkes Robert J.,CFO,P - Purchase,7.0,3000.0,3000.0,0.0,21000.0
2021-06-01,2021-05-28,KRON,"Kronos Bio, Inc.",De Backer Marianne,Dir,P - Purchase,25.01,600.0,600.0,0.0,15006.0
2021-06-01,2021-05-28,GBL,"Gamco Investors, Inc. Et Al","Associated Capital Group, Inc.",10%,S - Sale,27.21,-3302.0,1713690.0,0.0,-89844.0
2021-06-01,2021-05-28,XENE,Xenon Pharmaceuticals Inc.,Robin Sherrington,"EVP, Strategy, Innovation",S - Sale+OE,18.81,-6067.0,32232.0,-16.0,-114120.0
2021-06-01,2021-05-28,R,Ryder System Inc,Sensing John S.,"Pres, Global SCS, DTS",S - Sale+OE,81.46,-43749.0,43016.0,-50.0,-3563575.0
2021-06-01,2021-05-28,HAS,"Hasbro, Inc.",Hassenfeld Alan G,Chairman Emeritus,S - Sale,95.69,-31515.0,6828204.0,0.0,-3015776.0
2021-06-01,2021-05-27,XENE,Xenon Pharmaceuticals Inc.,Holler Frank A,Dir,S - Sale+OE,18.68,-11064.0,144837.0,-7.0,-206701.0
2021-06-01,2021-05-27,DKS,"Dick'S Sporting Goods, Inc.",Hayes John Edward III,"SVP, GC",S - Sale,99.0,-4421.0,56660.0,-7.0,-437673.0
2021-06-01,2021-05-27,DKS,"Dick'S Sporting Goods, Inc.",Colombo William J,Dir,S - Sale,100.08,-96080.0,162324.0,-37.0,-9615513.0
2021-06-01,2021-05-27,SFT,"Shift Technologies, Inc.",Arison George,See Remarks,S - Sale,7.14,-8.0,3343988.0,0.0,-57.0
2021-06-01,2021-05-27,SFT,"Shift Technologies, Inc.",Russell Tobias,See Remarks,P - Purchase,7.08,10000.0,3063781.0,0.0,70800.0
2021-06-01,2021-05-28,KOSS,Koss Corp,Nixon Theodore,Dir,S - Sale+OE,23.58,-10000.0,0.0,-100.0,-235800.0
2021-06-01,2021-05-27,SFT,"Shift Technologies, Inc.",Arison George,See Remarks,P - Purchase,7.12,10008.0,3343988.0,0.0,71216.0
2021-06-01,2021-05-27,QRHC,Quest Resource Holding Corp,Wynnefield Partners Small Cap Value LP I,10%,P - Purchase,4.5,7422.0,1946463.0,0.0,33428.0
2021-06-01,2021-05-28,RYN,Rayonier Inc,Nunes David L,CEO,S - Sale+OE,38.02,-200000.0,238508.0,-46.0,-7604160.0
2021-06-01,2021-06-01,PLAY,"Dave & Buster'S Entertainment, Inc.",Jenkins Brian,CEO,S - Sale,42.13,-5784.0,162607.0,-3.0,-243706.0
2021-06-01,2021-06-01,CARE,"Carter Bankshares, Inc.",Karavatakis Phyllis Q.,SR EVP OF SPECIAL PROJECTS,P - Purchase,15.41,32.0,17926.0,0.0,493.0
2021-06-01,2021-05-28,KOSS,Koss Corp,Koss John C Jr,"VP - Sales, 10%",S - Sale,23.5,-10000.0,2030387.0,0.0,-235000.0
2021-06-01,2021-05-27,DKS,"Dick'S Sporting Goods, Inc.",Hobart Lauren R,"Pres, CEO",S - Sale+OE,99.01,-32582.0,268644.0,-11.0,-3226046.0
2021-06-02,2021-06-01,PANW,Palo Alto Networks Inc,Compeau Jean,"Deputy CFO, CAO",S - Sale,360.07,-2498.0,22112.0,-10.0,-899442.0
